map 3

cost 180

gametype  BF
texscript BaseT\Script\texture-egypt.scr
mdlscript BaseT\Script\model.scr
weather NONE

fog 0

music {
  track modf BaseT\Music\game.it
  track modf BaseT\Music\game.it
  endmusic
}

nextmap 1 BaseT\Map\EGYPT\m3.map

items XMS

help 3 X M S 

message F

tank 25  

2C 2C 2C 1CD
  ln 3 N1 3 N1 3 N1 1 N1 48 N1 46 N1 48 N 6 N 6 N 6 N 6 N 6 N 46 N2 45 N1 46 N 6 N 6 N 1 N12 3 N1 3 N1 3 N1 	
  ln 3 N1 3 N1 3 N1 1 N1 6 N2 6 N2 6 N2 6 N 6 N 6 N 6 N 6 N 48 N1 46 N1 48 N 6 N 6 N 1 N12 3 N1 3 N1 3 N1 	
  ln 3 N1 3 N1 3 N1 2 N2 1 N 1 N 0 N 31 N 31 N 0 N12 1 N 1 N 1 N 1 N 1 N 1 N 1 N 2 N1 3 N1 3 N1 3 N1 	
  ln 3 N1 3 N1 3 N1 3 N1 3 N1 3 N1 1 N1 31 N 31 N 1 N12 3 N1 3 N1 3 N1 3 N1 3 N1 3 N1 3 N1 3 N1 3 N1 3 N1 3 N1 	
  ln 3 N1 3 N1 3 N1 3 N1 3 N1 3 N1 1 N1 31 N 31 N 1 N12 3 N1 3 N1 3 N1 3 N1 3 N1 3 N1 3 N1 3 N1 3 N1 3 N1 3 N1 	
  ln 3 N1 3 N1 3 N1 3 N1 3 N1 3 N1 1 N1 31 N 31 N 1 N12 3 N1 3 N1 3 N1 3 N1 3 N1 3 N1 3 N1 3 N1 3 N1 3 N1 3 N1 	
  endterr 
} 

terr2 { 
  ln 256 N 256 N 256 N 256 N 256 N 256 N 256 N 256 N 256 N 256 N 1 N125 1 N15 256 N 1 N125 256 N 256 N 256 N 256 N 256 N 256 N 256 N 	
  ln 256 N 256 N 256 N 256 N 256 N 1 N15 256 N 256 N 256 N 256 N 0 N25 0 N15 256 N 1 N125 256 N 256 N 256 N 256 N 256 N 256 N 256 N 	
  ln 256 N 256 N 256 N235 256 N235 0 N25 0 N15 256 N235 51 N12 256 N235 256 N235 256 N235 256 N235 256 N235 0 N25 1 N25 1 N25 1 N25 0 N15 256 N235 256 N 256 N 	
  ln 256 N 256 N 256 N235 256 N235 256 N235 256 N235 256 N1235 256 N235 256 N235 17 N1 256 N235 51 N12 256 N235 256 N235 15 N12 256 N235 256 N235 256 N235 256 N235 256 N 256 N 	
  ln 256 N 256 N 0 N5 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N 256 N 	
  ln 256 N 256 N 1 N15 256 N1235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N 256 N 	
  ln 256 N 256 N 1 N15 15 N2 256 N235 256 N235 256 N235 256 N235 256 N235 41 N 256 N1235 41 N1 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N 256 N 	
  ln 256 N 256 N 1 N15 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N 256 N 	
  ln 256 N 256 N 1 N15 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N1235 256 N235 256 N235 256 N 256 N 	
  ln 1 N25 1 N25 0 N15 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N 256 N 	
  ln 256 N 256 N 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 17 N1 256 N235 256 N 256 N 	
  ln 256 N 256 N 44 N 256 N1235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 44 N1 256 N235 256 N 256 N 	
  ln 256 N 256 N 256 N1235 256 N1235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N 256 N 	
  ln 256 N 256 N 256 N235 15 N1 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N 256 N 	
  ln 256 N 256 N 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N 256 N 	
  ln 256 N 256 N 256 N235 256 N1235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N 256 N 	
  ln 256 N 256 N 256 N235 256 N235 256 N235 256 N235 256 N1235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N 256 N 	
  ln 256 N 256 N 256 N235 256 N235 256 N235 256 N1235 51 N12 35 N 35 N1 50 N1 256 N235 256 N235 15 N2 256 N235 256 N235 51 N1 256 N235 256 N235 256 N235 256 N 256 N 	
  ln 256 N 256 N 256 N235 256 N235 51 N12 256 N235 256 N235 35 N12 35 N2 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N235 256 N 256 N 	
  ln 256 N 256 N 256 N 256 N 256 N 256 N 256 N 256 N 256 N 256 N 256 N 256 N 256 N 256 N 256 N 256 N 256 N 256 N 256 N 256 N 256 N 	
  ln 256 N 256 N 256 N 256 N 256 N 256 N 256 N 256 N 256 N 256 N 256 N 256 N 256 N 256 N 256 N 256 N 256 N 256 N 256 N 256 N 256 N 	
  endterr 
} 

